"","type","distribution","g1,g2","p,q","pvalue","pvalue_sqv","BIC"
"69","eGARCH","norm","1,1","1,2",4.89941420767082e-13,"0","-3.92108821015118"
"70","eGARCH","norm","1,1","1,3",6.59472476627343e-14,"0","-3.91766600422918"
"71","eGARCH","norm","1,1","1,4",1.14352971536391e-14,"0","-3.91447222845301"
"72","eGARCH","norm","1,1","1,5",4.44089209850063e-16,"0","-3.91434560058603"
"73","eGARCH","norm","1,1","2,0",2.90938384495121e-11,"0","-3.92389563259977"
"74","eGARCH","norm","1,1","2,1",7.68052288435683e-13,"0","-3.92105462607572"
"75","eGARCH","norm","1,1","2,2",2.16593409874122e-12,"0","-3.92711526918573"
"76","eGARCH","norm","1,1","2,3",4.94382312865582e-13,"0","-3.92362109929519"
"77","eGARCH","norm","1,1","2,4",2.88657986402541e-15,"0","-3.91328389811921"
"78","eGARCH","norm","1,1","2,5",2.22044604925031e-16,"0","-3.91218542926687"
"79","eGARCH","norm","1,1","3,0",5.63438184997267e-13,"0","-3.9207535623795"
"80","eGARCH","norm","1,1","3,1",9.35918009759007e-14,"0","-3.91762901160541"
"81","eGARCH","norm","1,1","3,2",1.26565424807268e-14,"0","-3.92292289261885"
"82","eGARCH","norm","1,1","3,3",3.71558339651301e-12,"0","-3.91506068048857"
"83","eGARCH","norm","1,1","3,4",2.99760216648792e-15,"0","-3.91723685392196"
"84","eGARCH","norm","1,1","4,0",6.90558721316847e-14,"0","-3.91772785249126"
"85","eGARCH","norm","1,1","4,1",2.22044604925031e-15,"0","-3.91440000532668"
"86","eGARCH","norm","1,1","4,2",6.32827124036339e-15,"0","-3.92099490297386"
"87","eGARCH","norm","1,1","4,3",0,"0","-3.91784599654595"
"88","eGARCH","norm","1,1","5,0",1.27675647831893e-14,"0","-3.91427818656139"
"89","eGARCH","norm","1,1","5,1",4.44089209850063e-16,"0","-3.91466502170379"
"90","eGARCH","norm","1,1","5,2",0,"0","-3.91273529233272"
