"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"64","yearly","sGARCH","norm","2,2","1,1","-3.92243161996769",5.26911847487099e-13
"65","yearly","sGARCH","std","2,2","1,1","-4.11455353969146",2.22044604925031e-16
"66","yearly","sGARCH","norm","2,2","1,2","-3.91960857216204",1.84963155902551e-13
"67","yearly","sGARCH","norm","2,2","2,0","-3.92268612133964",4.32442970321745e-12
"68","yearly","sGARCH","std","2,2","2,0","-4.11451374174552",1.11022302462516e-16
"69","yearly","sGARCH","norm","2,2","2,1","-3.91958370439515",2.665645482125e-13
"70","yearly","sGARCH","norm","2,2","2,2","-3.9175257851834",1.25455201782643e-14
"71","yearly","sGARCH","norm","2,3","0,0","-3.92558903705034",2.45139020194074e-09
"72","yearly","sGARCH","std","2,3","0,0","-4.1185313676504",2.45139020194074e-09
"73","yearly","sGARCH","norm","2,3","0,1","-3.92264221466753",5.1370019349406e-13
"74","yearly","sGARCH","norm","2,3","0,2","-3.91992515946154",5.83089132533132e-13
"75","yearly","sGARCH","norm","2,3","1,0","-3.92266913816035",3.11639603012281e-13
"76","yearly","sGARCH","norm","2,3","1,1","-3.91961998500344",1.29452004671293e-13
"77","yearly","sGARCH","norm","2,3","1,2","-3.91691066763317",2.93098878501041e-14
"78","yearly","sGARCH","norm","2,3","2,0","-3.91991080516274",9.28257470889093e-13
"79","yearly","sGARCH","norm","2,3","2,1","-3.91686928039529",4.84057238736568e-14
"80","yearly","sGARCH","norm","2,3","2,2","-3.91471924140712",1.15463194561016e-14
"81","yearly","sGARCH","norm","3,1","0,0","-3.92310164701804",2.45139020194074e-09
"82","yearly","sGARCH","std","3,1","0,0","-4.11668309596731",2.45139020194074e-09
"83","yearly","sGARCH","norm","3,1","0,1","-3.9199187483498",1.2038259278313e-11
"84","yearly","sGARCH","std","3,1","0,1","-4.11563176542397",1.11022302462516e-16
"85","yearly","sGARCH","norm","3,1","0,2","-3.91707330750185",1.61827218292387e-11
"86","yearly","sGARCH","std","3,1","0,2","-4.11248858325267",1.11022302462516e-16
"87","yearly","sGARCH","norm","3,1","1,0","-3.91992665691073",9.6908037150456e-12
"88","yearly","sGARCH","std","3,1","1,0","-4.11569168563201",1.11022302462516e-16
"89","yearly","sGARCH","norm","3,1","1,1","-3.91685089450279",2.05435668476639e-12
"90","yearly","sGARCH","std","3,1","1,1","-4.11254485543046",3.33066907387547e-16
"91","yearly","sGARCH","norm","3,1","1,2","-3.91401066530995",8.22564238944778e-13
"92","yearly","sGARCH","norm","3,1","2,0","-3.91708841095134",2.11631823177072e-11
"93","yearly","sGARCH","std","3,1","2,0","-4.11249843325028",1.11022302462516e-16
"94","yearly","sGARCH","norm","3,1","2,1","-3.91399237472668",1.13442588656198e-12
"95","yearly","sGARCH","norm","3,1","2,2","-3.91553877026489",1.26496590979741e-11
"96","yearly","sGARCH","std","3,1","2,2","-4.1083227857574",3.20965476419133e-13
"97","yearly","sGARCH","norm","3,2","0,0","-3.92510923670716",2.45139020194074e-09
"98","yearly","sGARCH","std","3,2","0,0","-4.11536441634454",2.45139020194074e-09
"99","yearly","sGARCH","norm","3,2","0,1","-3.92203865780826",2.35023112082899e-12
"100","yearly","sGARCH","std","3,2","0,1","-4.11434539075991",1.11022302462516e-16
"101","yearly","sGARCH","norm","3,2","0,2","-3.91926297838645",3.17290638207623e-12
"102","yearly","sGARCH","norm","3,2","1,0","-3.92205517663049",1.65156777143238e-12
"103","yearly","sGARCH","std","3,2","1,0","-4.11440996241253",1.11022302462516e-16
"104","yearly","sGARCH","norm","3,2","1,1","-3.91901074776134",5.3357318563485e-13
"105","yearly","sGARCH","std","3,2","1,1","-4.11125844771511",2.22044604925031e-16
"106","yearly","sGARCH","norm","3,2","1,2","-3.91618407162852",1.90070181815827e-13
"107","yearly","sGARCH","norm","3,2","2,0","-3.91926507763393",4.42246239629185e-12
"108","yearly","sGARCH","std","3,2","2,0","-4.11121833163896",1.11022302462516e-16
"109","yearly","sGARCH","norm","3,2","2,1","-3.9161597103205",2.73114864057789e-13
"110","yearly","sGARCH","norm","3,2","2,2","-3.9140962892914",1.28785870856518e-14
"111","yearly","sGARCH","norm","3,3","0,0","-3.92323638977158",2.45139020194074e-09
"112","yearly","sGARCH","std","3,3","0,0","-4.11519864825443",2.45139020194074e-09
"113","yearly","sGARCH","norm","3,3","0,1","-3.9200918872085",5.27722310295076e-12
"114","yearly","sGARCH","norm","3,3","0,2","-3.91733640469319",5.09892128519596e-12
"115","yearly","sGARCH","norm","3,3","1,0","-3.92010479931608",3.73379105411686e-12
"116","yearly","sGARCH","norm","3,3","1,1","-3.91701879639293",8.1512574467979e-13
"117","yearly","sGARCH","norm","3,3","1,2","-3.91438468699686",2.33590924381133e-13
"118","yearly","sGARCH","norm","3,3","2,0","-3.91733466310981",7.81197329047245e-12
"119","yearly","sGARCH","norm","3,3","2,1","-3.91434865560667",3.67816888058314e-13
"120","yearly","sGARCH","norm","3,3","2,2","-3.91377796387226",8.36219982147668e-13
"121","yearly","sGARCH","std","3,3","2,2","-4.1066175195119",3.83026943495679e-13
"122","yearly","eGARCH","norm","1,1","0,0","-3.92949207870886",2.45139020194074e-09
"123","yearly","eGARCH","std","1,1","0,0","-4.12633489120274",2.45139020194074e-09
"124","yearly","eGARCH","norm","1,1","0,1","-3.92622440223036",5.54950529974008e-11
"125","yearly","eGARCH","std","1,1","0,1","-4.12515201058075",2.22044604925031e-16
"126","yearly","eGARCH","norm","1,1","0,2","-3.92304055204931",2.59845478467469e-11
"127","yearly","eGARCH","std","1,1","0,2","-4.12188511954744",1.11022302462516e-16
"128","yearly","eGARCH","norm","1,1","1,0","-3.9262276069285",4.90434359790015e-11
"129","yearly","eGARCH","std","1,1","1,0","-4.12519959667439",2.22044604925031e-16
"130","yearly","eGARCH","norm","1,1","1,1","-3.92304887126395",6.40787423122902e-12
"131","yearly","eGARCH","std","1,1","1,1","-4.12197734476095",6.66133814775094e-16
"132","yearly","eGARCH","norm","1,1","1,2","-3.92020450815341",1.03406172513587e-12
"133","yearly","eGARCH","std","1,1","1,2","-4.1187110419202",1.11022302462516e-16
"134","yearly","eGARCH","norm","1,1","2,0","-3.92304217241042",3.32562866134367e-11
"135","yearly","eGARCH","std","1,1","2,0","-4.12189668907629",1.11022302462516e-16
"136","yearly","eGARCH","norm","1,1","2,1","-3.92017337601098",1.07391873171991e-12
"137","yearly","eGARCH","std","1,1","2,1","-4.11871178921195",1.11022302462516e-16
"138","yearly","eGARCH","norm","1,1","2,2","-3.92567004508791",9.10382880192628e-14
"139","yearly","eGARCH","norm","1,2","0,0","-3.93484289177",2.45139020194074e-09
"140","yearly","eGARCH","std","1,2","0,0","-4.12686099456574",2.45139020194074e-09
"141","yearly","eGARCH","norm","1,2","0,1","-3.93167292101071",1.2205569888124e-11
"142","yearly","eGARCH","std","1,2","0,1","-1.38438779977933",0.0136479326646382
"143","yearly","eGARCH","norm","1,2","0,2","-3.92899705215478",3.84547949039415e-12
"144","yearly","eGARCH","std","1,2","0,2","-0.0436638570205394",0.0582505039276007
"145","yearly","eGARCH","norm","1,2","1,0","-3.93168207448993",2.09243733451103e-12
"146","yearly","eGARCH","std","1,2","1,0","-0.610487587856816",0.0360171361438193
"147","yearly","eGARCH","norm","1,2","1,1","-3.92866765771495",7.54618589837719e-13
"148","yearly","eGARCH","norm","1,2","1,2","-3.92609236155589",2.34590125103296e-13
"149","yearly","eGARCH","std","1,2","1,2","-0.165096873993679",0.398426191163766
"150","yearly","eGARCH","norm","1,2","2,0","-3.92898980345107",5.12034858957122e-12
"151","yearly","eGARCH","std","1,2","2,0","-4.11816044612634",1.11022302462516e-16
"152","yearly","eGARCH","norm","1,2","2,1","-3.92605216886222",3.7070346792234e-13
"153","yearly","eGARCH","std","1,2","2,1","-0.0532313056263862",0.0983478832134203
"154","yearly","eGARCH","norm","1,2","2,2","-3.93252564630347",3.59712259978551e-14
"155","yearly","eGARCH","norm","1,3","0,0","-3.93337036926847",2.45139020194074e-09
"156","yearly","eGARCH","std","1,3","0,0","-0.383070140800198",2.45139020194074e-09
"157","yearly","eGARCH","norm","1,3","0,1","-3.93034494653257",6.21613871487625e-13
"158","yearly","eGARCH","norm","1,3","0,2","-3.92780532081596",7.05213665241899e-13
"159","yearly","eGARCH","std","1,3","0,2","-0.380082388255241",0.0581453452896395
"160","yearly","eGARCH","norm","1,3","1,0","-3.93037642637359",3.78919118304566e-13
"161","yearly","eGARCH","std","1,3","1,0","-0.291921723073111",0.0370390731530992
"162","yearly","eGARCH","norm","1,3","1,1","-3.92735167148347",1.11577413974828e-13
"163","yearly","eGARCH","std","1,3","1,1","-0.342012700301149",0.0249588074596232
"164","yearly","eGARCH","norm","1,3","1,2","-3.92504310193391",3.76365605347928e-14
"165","yearly","eGARCH","std","1,3","1,2","-0.395897347399583",0.398427325397832
"166","yearly","eGARCH","norm","1,3","2,0","-3.92776324130967",1.1820544543184e-12
"167","yearly","eGARCH","std","1,3","2,0","-0.343764280015974",0.0245183101864155
"168","yearly","eGARCH","norm","1,3","2,1","-3.92496599547494",6.92779167366098e-14
"169","yearly","eGARCH","std","1,3","2,1","-0.380971308042521",0.0986655500357029
"170","yearly","eGARCH","norm","1,3","2,2","-3.92843431731388",1.84493531563135e-11
"171","yearly","eGARCH","std","1,3","2,2","-0.410351737214604",0.663722405064167
"172","yearly","eGARCH","norm","2,1","0,0","-3.93488071335463",2.45139020194074e-09
"173","yearly","eGARCH","std","2,1","0,0","-4.12520984213032",2.45139020194074e-09
"174","yearly","eGARCH","norm","2,1","0,1","-3.93196509043888",2.02837746599016e-13
"175","yearly","eGARCH","norm","2,1","0,2","-3.92921257272692",1.44106948596345e-13
"176","yearly","eGARCH","norm","2,1","1,0","-3.93199875062298",1.47104550762833e-13
"177","yearly","eGARCH","norm","2,1","1,1","-3.92891805587052",5.16253706450698e-14
"178","yearly","eGARCH","norm","2,1","1,2","-3.92639048591164",1.80966353013901e-14
"179","yearly","eGARCH","norm","2,1","2,0","-3.92917318660421",1.9817480989559e-13
"180","yearly","eGARCH","norm","2,1","2,1","-3.92631650824817",3.530509218308e-14
"181","yearly","eGARCH","norm","2,1","2,2","-3.93336214877179",2.02060590481778e-14
"182","yearly","eGARCH","norm","2,2","0,0","-3.92693634941379",2.45139020194074e-09
"183","yearly","eGARCH","std","2,2","0,0","-0.976424750458845",2.45139020194074e-09
"184","yearly","eGARCH","norm","2,2","0,1","-3.92362110262946",3.03615688146408e-10
"185","yearly","eGARCH","norm","2,2","0,2","-3.92588398258845",1.37556632751057e-13
"186","yearly","eGARCH","std","2,2","0,2","-4.11303789557276",1.11022302462516e-16
"187","yearly","eGARCH","norm","2,2","1,0","-3.92362166405251",2.83840728698692e-10
"188","yearly","eGARCH","std","2,2","1,0","-1.15828258939861",0.0359098612855967
"189","yearly","eGARCH","norm","2,2","1,1","-3.9255939487508",4.9515946898282e-14
"190","yearly","eGARCH","std","2,2","1,1","-0.728227732412874",0.024964426578344
"191","yearly","eGARCH","norm","2,2","1,2","-3.91798937401548",5.24191801076768e-12
"192","yearly","eGARCH","norm","2,2","2,0","-3.92584447932959",1.89404048001052e-13
"193","yearly","eGARCH","norm","2,2","2,1","-3.91797299088954",3.9958036879284e-12
"194","yearly","eGARCH","std","2,2","2,1","-2.14397829880057",0.0998895763817097
"195","yearly","eGARCH","norm","2,2","2,2","-3.92105149366612",7.70591368493001e-11
"196","yearly","eGARCH","std","2,2","2,2","-4.10987903448935",1.77766690256931e-11
"197","yearly","eGARCH","norm","2,3","0,0","-3.92871194696563",2.45139020194074e-09
"198","yearly","eGARCH","std","2,3","0,0","-0.983920965570059",2.45139020194074e-09
"199","yearly","eGARCH","norm","2,3","0,1","-3.92574773316481",3.38618022510673e-13
"200","yearly","eGARCH","std","2,3","0,1","-0.935696010349813",0.0144431186377303
"201","yearly","eGARCH","norm","2,3","0,2","-3.92301877328438",2.64899213675562e-13
"202","yearly","eGARCH","norm","2,3","1,0","-3.92577985826083",2.22599716437344e-13
"203","yearly","eGARCH","norm","2,3","1,1","-3.92523593220289",3.04867242562068e-13
"204","yearly","eGARCH","norm","2,3","1,2","-3.92013811992559",3.25295346215171e-14
"205","yearly","eGARCH","std","2,3","1,2","-1.15409684771087",0.398421115803178
"206","yearly","eGARCH","norm","2,3","2,0","-3.92298499930739",3.32844862782622e-13
"207","yearly","eGARCH","norm","2,3","2,1","-3.92007497751838",6.07291994469961e-14
"208","yearly","eGARCH","std","2,3","2,1","-1.15357938107379",0.0869593374848627
"209","yearly","eGARCH","norm","2,3","2,2","-3.92640274993179",2.88835622086481e-12
"210","yearly","eGARCH","std","2,3","2,2","-1.31053152193118",0.0153461279093835
