"","type","distribution","g1,g2","p,q","pvalue","pvalue_sqv","BIC"
"63","eGARCH","norm","1,1","0,2",0.00342290238376097,"0","-2.84399003898091"
"64","eGARCH","norm","1,1","0,3",6.60308474564886e-11,"0","-2.84428948406853"
"65","eGARCH","norm","1,1","0,4",9.8442365370488e-12,"0","-2.84079966569042"
"66","eGARCH","norm","1,1","0,5",2.08089101505493e-12,"0","-2.84126822491531"
"67","eGARCH","norm","1,1","1,0",0.0263210921016973,"1.11022302462516e-16","-2.8430225269239"
"68","eGARCH","norm","1,1","1,1",6.38457064994213e-11,"0","-2.84789745901855"
"69","eGARCH","norm","1,1","1,2",2.17010853731381e-11,"0","-2.84469006703326"
"70","eGARCH","norm","1,1","1,3",1.05515596260375e-12,"0","-2.84150771026027"
"71","eGARCH","norm","1,1","1,4",1.87383442096234e-12,"0","-2.8392257101765"
"72","eGARCH","norm","1,1","1,5",2.26507701484024e-12,"0","-2.83804656091539"
"73","eGARCH","norm","1,1","2,0",0.0573512389480622,"1.11022302462516e-16","-2.84269112656913"
"74","eGARCH","norm","1,1","2,1",4.76330086485177e-11,"0","-2.84468651474969"
"75","eGARCH","norm","1,1","2,2",9.80326930744013e-14,"0","-2.84355530830774"
"76","eGARCH","norm","1,1","2,3",1.21014309684142e-14,"0","-2.84079289718712"
"77","eGARCH","norm","1,1","2,4",2.42462795052578e-06,"0","-2.83848982642117"
"78","eGARCH","norm","1,1","2,5",0,"0","-2.83544497387178"
"79","eGARCH","norm","1,1","3,0",4.90128240701049e-05,"0","-2.84230852140983"
"80","eGARCH","norm","1,1","3,1",8.31449057338007e-05,"0","-2.83985726681342"
"81","eGARCH","norm","1,1","3,2",8.43769498715119e-15,"0","-2.84085064451059"
"82","eGARCH","norm","1,1","3,3",3.21964677141295e-15,"0","-2.8378196169539"
"83","eGARCH","norm","1,1","3,4",1.29896093881143e-14,"0","-2.83977830783745"
"84","eGARCH","norm","1,1","4,0",1.72416896596639e-05,"0","-2.83873021559319"
"85","eGARCH","norm","1,1","4,1",1.71414817085047e-06,"0","-2.83686508993511"
"86","eGARCH","norm","1,1","4,2",1.16573417585641e-14,"0","-2.83768691860968"
"87","eGARCH","norm","1,1","4,3",1.10689235555128e-13,"0","-2.83980731220852"
"88","eGARCH","norm","1,1","5,0",6.16391615526624e-09,"0","-2.83944961862713"
"89","eGARCH","norm","1,1","5,1",6.17284001691587e-14,"0","-2.83818588296317"
"90","eGARCH","norm","1,1","5,2",2.33146835171283e-15,"0","-2.83496700255023"
"91","eGARCH","std","1,1","0,0",0.00046192983080906,"4.44089209850063e-16","-3.08145269312297"
"92","eGARCH","std","1,1","0,1",0.000171755097813309,"0","-3.10956563792814"
"93","eGARCH","std","1,1","0,2",6.17545188760227e-05,"0","-3.11081417352109"
"94","eGARCH","std","1,1","0,3",4.07423446660005e-05,"0","-3.10781387418872"
"95","eGARCH","std","1,1","0,4",1.41123778587549e-05,"0","-3.10437217614872"
"96","eGARCH","std","1,1","0,5",4.98466537612874e-06,"0","-3.10175677947805"
"97","eGARCH","std","1,1","1,0",0.00243227778365185,"1.11022302462516e-16","-3.10392540629354"
"98","eGARCH","std","1,1","1,1",3.55457382796853e-05,"0","-3.10960689783473"
"99","eGARCH","std","1,1","1,2",2.91693857755737e-05,"0","-3.10781336006409"
"100","eGARCH","std","1,1","1,3",1.39844671539491e-05,"0","-3.10448170066257"
"101","eGARCH","std","1,1","1,4",1.29733927994868e-05,"0","-3.10250983177589"
"102","eGARCH","std","1,1","1,5",6.0199839913011e-07,"0","-3.098889851391"
"103","eGARCH","std","1,1","2,0",0.000173159756523211,"0","-3.11131005939093"
"104","eGARCH","std","1,1","2,1",5.23242157102199e-05,"0","-3.10802350753069"
"105","eGARCH","std","1,1","2,2",2.32495085176199e-05,"0","-3.10470183254221"
"106","eGARCH","std","1,1","2,3",9.05674071771667e-06,"0","-3.1014204185852"
"107","eGARCH","std","1,1","2,4",7.70176697972857e-07,"0","-3.10460032211172"
"108","eGARCH","std","1,1","2,5",2.00415311346624e-07,"0","-3.09553466854581"
"109","eGARCH","std","1,1","3,0",6.69345009977063e-05,"0","-3.10768643924693"
"110","eGARCH","std","1,1","3,1",5.0874002528789e-05,"0","-3.1057494524049"
"111","eGARCH","std","1,1","3,2",2.23814409738843e-05,"0","-3.10245204158781"
"112","eGARCH","std","1,1","3,3",1.16912706715766e-06,"0","-3.10008669219625"
"113","eGARCH","std","1,1","3,4",2.2952695288847e-07,"0","-3.09685571108887"
"114","eGARCH","std","1,1","4,0",3.48989325257287e-05,"0","-3.10401687480331"
"115","eGARCH","std","1,1","4,1",2.22046108756535e-05,"0","-3.10225909711973"
"116","eGARCH","std","1,1","4,2",1.41617738536048e-07,"0","-3.10872913499173"
"117","eGARCH","std","1,1","4,3",1.17931127197046e-07,"0","-3.09472550783579"
"118","eGARCH","std","1,1","5,0",1.12373666387722e-05,"0","-3.10087180716852"
"119","eGARCH","std","1,1","5,1",9.34967701593514e-07,"0","-3.09830690603001"
"120","eGARCH","std","1,1","5,2",9.15659441602656e-08,"0","-3.09602973137456"
"121","gjrGARCH","norm","1,1","0,0",0.00046192983080906,"1.11022302462516e-16","-2.84031118220409"
"122","gjrGARCH","norm","1,1","0,1",0.0672219164129078,"1.11022302462516e-16","-2.84607482801324"
"123","gjrGARCH","norm","1,1","0,2",0.000120222752024279,"0","-2.84813770201701"
"124","gjrGARCH","norm","1,1","0,3",2.02204134547301e-08,"0","-2.84658530366207"
"125","gjrGARCH","norm","1,1","0,4",5.7930327201916e-12,"0","-2.84424063967084"
"126","gjrGARCH","norm","1,1","0,5",5.44564393578639e-13,"0","-2.84212641817696"
"127","gjrGARCH","norm","1,1","1,0",0.0736559069644689,"1.11022302462516e-16","-2.84444674704026"
"128","gjrGARCH","norm","1,1","1,1",4.48489023696652e-11,"0","-2.85188266916301"
"129","gjrGARCH","norm","1,1","1,2",1.08930642284122e-11,"0","-2.84866462290077"
"130","gjrGARCH","norm","1,1","1,3",3.77708975207725e-12,"0","-2.84536239841188"
"131","gjrGARCH","norm","1,1","1,4",3.78697073699641e-13,"0","-2.84201590907592"
"132","gjrGARCH","norm","1,1","1,5",1.30340183090993e-13,"0","-2.83913600877518"
"133","gjrGARCH","norm","1,1","2,0",0.0692913820803713,"1.11022302462516e-16","-2.84593809855345"
"134","gjrGARCH","norm","1,1","2,1",1.11544107284089e-11,"0","-2.84866089924858"
"135","gjrGARCH","norm","1,1","2,2",0,"0","-2.84723755954062"
"136","gjrGARCH","norm","1,1","2,3",5.01265695618258e-13,"0","-2.842004522163"
"137","gjrGARCH","norm","1,1","2,4",1.52211576676109e-13,"0","-2.83931451169157"
"138","gjrGARCH","norm","1,1","2,5",6.66133814775094e-16,"0","-2.84428381779499"
"139","gjrGARCH","norm","1,1","3,0",0.00253162711425747,"0","-2.84420490544374"
"140","gjrGARCH","norm","1,1","3,1",4.1714409704241e-12,"0","-2.84544327731368"
"141","gjrGARCH","norm","1,1","3,2",3.78697073699641e-13,"0","-2.84467594243176"
"142","gjrGARCH","norm","1,1","3,3",0,"0","-2.84013621033448"
"143","gjrGARCH","norm","1,1","3,4",8.88178419700125e-16,"0","-2.84443320947654"
"144","gjrGARCH","norm","1,1","4,0",2.80120381190851e-06,"0","-2.84176936209195"
"145","gjrGARCH","norm","1,1","4,1",3.00426350463567e-13,"0","-2.84178602779872"
"146","gjrGARCH","norm","1,1","4,2",0.000953591173617374,"0","-2.83789892731362"
"147","gjrGARCH","norm","1,1","4,3",4.18554080283684e-14,"0","-2.83811883797844"
"148","gjrGARCH","norm","1,1","5,0",4.86025990564798e-08,"0","-2.84007663739483"
"149","gjrGARCH","norm","1,1","5,1",2.66453525910038e-14,"0","-2.8392118189438"
"150","gjrGARCH","norm","1,1","5,2",1.95601979058324e-10,"0","-2.84278373537159"
"151","gjrGARCH","std","1,1","0,0",0.00046192983080906,"3.33066907387547e-16","-3.08325811160479"
"152","gjrGARCH","std","1,1","0,1",0.000298890426664977,"0","-3.1090977569748"
"153","gjrGARCH","std","1,1","0,2",9.43648778688466e-05,"0","-3.1103105751466"
"154","gjrGARCH","std","1,1","0,3",5.92582126022201e-05,"0","-3.10726263882739"
"155","gjrGARCH","std","1,1","0,4",1.46804938510048e-05,"0","-3.10385330508757"
"156","gjrGARCH","std","1,1","0,5",5.22527105484283e-06,"0","-3.10128979078731"
"157","gjrGARCH","std","1,1","1,0",0.00313774201229644,"1.11022302462516e-16","-3.10383676678471"
"158","gjrGARCH","std","1,1","1,1",5.1889676281891e-05,"0","-3.10925009275175"
"159","gjrGARCH","std","1,1","1,2",4.23664413338187e-05,"0","-3.10726639096559"
"160","gjrGARCH","std","1,1","1,3",1.89192154992357e-05,"0","-3.10393325095431"
"161","gjrGARCH","std","1,1","1,4",1.54692777839527e-05,"0","-3.10165213836759"
"162","gjrGARCH","std","1,1","1,5",4.47537673808895e-07,"0","-3.09859888254657"
"163","gjrGARCH","std","1,1","2,0",0.000328454887997598,"0","-3.11060854790104"
"164","gjrGARCH","std","1,1","2,1",8.83358791214928e-05,"0","-3.10735348067066"
"165","gjrGARCH","std","1,1","2,2",3.01649980883889e-05,"0","-3.10402078377281"
"166","gjrGARCH","std","1,1","2,3",1.34197118349944e-05,"0","-3.1007669309922"
"167","gjrGARCH","std","1,1","2,4",1.87153363917503e-08,"0","-3.10000093555582"
"168","gjrGARCH","std","1,1","2,5",4.46147316868206e-08,"0","-3.09615426484268"
"169","gjrGARCH","std","1,1","3,0",0.000108752689968461,"0","-3.1070918202477"
"170","gjrGARCH","std","1,1","3,1",8.40493539412401e-05,"0","-3.10491706665626"
"171","gjrGARCH","std","1,1","3,2",2.87547632068508e-05,"0","-3.10158853402225"
"172","gjrGARCH","std","1,1","3,3",9.7617012617679e-07,"0","-3.09991627624539"
"173","gjrGARCH","std","1,1","3,4",4.26690676791353e-07,"0","-3.0961693235769"
"174","gjrGARCH","std","1,1","4,0",4.89969150110348e-05,"0","-3.10341387326625"
"175","gjrGARCH","std","1,1","4,1",2.78939632936126e-05,"0","-3.10140415316181"
"176","gjrGARCH","std","1,1","4,2",4.28547864306239e-07,"0","-3.09882473732904"
"177","gjrGARCH","std","1,1","4,3",4.97431368318146e-08,"0","-3.09577081195061"
"178","gjrGARCH","std","1,1","5,0",1.68763314842835e-05,"0","-3.10031327206828"
"179","gjrGARCH","std","1,1","5,1",7.33683943932029e-07,"0","-3.09800126555868"
"180","gjrGARCH","std","1,1","5,2",6.59925641910419e-08,"0","-3.09553972705432"
