"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"66","daily","sGARCH","norm","1,3","3,3","-3.91116160361041",6.66133814775094e-16
"67","daily","sGARCH","norm","1,3","3,4","-3.91399981163156",0
"68","daily","sGARCH","norm","1,3","4,0","-3.91494484822936",1.29896093881143e-14
"69","daily","sGARCH","norm","1,3","4,1","-3.91161629265266",2.1094237467878e-15
"70","daily","sGARCH","norm","1,3","4,2","-3.91661934243306",0
"71","daily","sGARCH","norm","1,3","4,3","-3.91413656998534",0
"72","daily","sGARCH","norm","2,1","0,0","-3.92376562641037",2.50122189626723e-09
"73","daily","sGARCH","norm","2,1","0,1","-3.92054825378362",2.28862484519254e-11
"74","daily","sGARCH","norm","2,1","0,2","-3.9177540507778",3.04158920272357e-11
"75","daily","sGARCH","norm","2,1","0,3","-3.91441038931044",2.65987232239695e-12
"76","daily","sGARCH","norm","2,1","0,4","-3.9116928772555",1.51434420558871e-13
"77","daily","sGARCH","norm","2,1","1,0","-3.92055464177833",1.88694615488316e-11
"78","daily","sGARCH","norm","2,1","1,1","-3.91747536225263",3.01003666436372e-12
"79","daily","sGARCH","norm","2,1","1,2","-3.91472702728278",1.26398891353574e-12
"80","daily","sGARCH","norm","2,1","1,3","-3.91132477732031",1.29896093881143e-13
"81","daily","sGARCH","norm","2,1","1,4","-3.90839916525945",2.00950367457153e-14
"82","daily","sGARCH","norm","2,1","2,0","-3.9177722619391",3.98976407467444e-11
"83","daily","sGARCH","norm","2,1","2,1","-3.91470845011951",1.75115477674126e-12
"84","daily","sGARCH","norm","2,1","2,2","-3.91300139576352",5.77315972805081e-15
"85","daily","sGARCH","norm","2,1","2,3","-3.91225356460552",6.28386231937839e-14
"86","daily","sGARCH","norm","2,1","2,4","-3.90860506295316",4.52859971744601e-13
"87","daily","sGARCH","norm","2,1","3,0","-3.91443433512057",3.57991414290382e-12
"88","daily","sGARCH","norm","2,1","3,1","-3.91129230707314",2.27373675443232e-13
"89","daily","sGARCH","norm","2,1","3,2","-3.90972544917736",1.28785870856518e-14
"90","daily","sGARCH","norm","2,1","3,3","-3.90810657441506",1.44230183352079e-11
"91","daily","sGARCH","norm","2,1","3,4","-3.90655017732514",0
"92","daily","sGARCH","norm","2,1","4,0","-3.91157179219243",3.11417558407356e-13
"93","daily","sGARCH","norm","2,1","4,1","-3.90826925028369",4.11892742135933e-14
"94","daily","sGARCH","norm","2,1","4,2","-3.90475378448245",1.93178806284777e-14
"95","daily","sGARCH","norm","2,1","4,3","-3.90803135466802",0
"96","daily","sGARCH","norm","2,2","0,0","-3.92655457454263",3.02093805526482e-09
"97","daily","sGARCH","norm","2,2","0,1","-3.92345493930628",4.95592455962424e-12
"98","daily","sGARCH","norm","2,2","0,2","-3.92071551771773",6.5403238380668e-12
"99","daily","sGARCH","norm","2,2","0,3","-3.91742294468314",4.90829599186782e-13
"100","daily","sGARCH","norm","2,2","0,4","-3.91446707709906",4.31876756579186e-14
"101","daily","sGARCH","norm","2,2","1,0","-3.92347020129057",3.53839180178284e-12
"102","daily","sGARCH","norm","2,2","1,1","-3.92043722094192",9.47686373820034e-13
"103","daily","sGARCH","norm","2,2","1,2","-3.91764377817496",3.48499007429837e-13
"104","daily","sGARCH","norm","2,2","1,3","-3.91462992010269",8.17124146124115e-14
"105","daily","sGARCH","norm","2,2","1,4","-3.91114994568582",6.32827124036339e-15
"106","daily","sGARCH","norm","2,2","2,0","-3.92072000457281",9.01001495634546e-12
"107","daily","sGARCH","norm","2,2","2,1","-3.91762131750802",4.9693582582222e-13
"108","daily","sGARCH","norm","2,2","2,2","-3.91561079818499",1.25455201782643e-14
"109","daily","sGARCH","norm","2,2","2,3","-3.91380751247622",4.75175454539567e-14
"110","daily","sGARCH","norm","2,2","2,4","-3.91048089922019",9.54791801177635e-15
"111","daily","sGARCH","norm","2,2","3,0","-3.9174320114922",6.78568312650896e-13
"112","daily","sGARCH","norm","2,2","3,1","-3.91423344252994",5.89528426075958e-14
"113","daily","sGARCH","norm","2,2","3,2","-3.91730264946705",0
"114","daily","sGARCH","norm","2,2","3,3","-3.90915542099977",0
"115","daily","sGARCH","norm","2,2","3,4","-3.909970238338",0
"116","daily","sGARCH","norm","2,2","4,0","-3.91436956977063",7.54951656745106e-14
"117","daily","sGARCH","norm","2,2","4,1","-3.91104681082997",1.15463194561016e-14
"118","daily","sGARCH","norm","2,2","4,2","-3.91584534976028",0
"119","daily","sGARCH","norm","2,2","4,3","-3.90787347127471",7.7715611723761e-16
"120","daily","sGARCH","norm","2,3","0,0","-3.92364449504586",3.64553631726494e-09
"121","daily","sGARCH","norm","2,3","0,1","-3.92068811631457",1.14019904629004e-12
"122","daily","sGARCH","norm","2,3","0,2","-3.9180114930071",1.23290266884624e-12
"123","daily","sGARCH","norm","2,3","0,3","-3.91491913145265",4.30766533554561e-14
"124","daily","sGARCH","norm","2,3","0,4","-3.91186192084866",4.55191440096314e-15
"125","daily","sGARCH","norm","2,3","1,0","-3.92071566616631",6.9244610045871e-13
"126","daily","sGARCH","norm","2,3","1,1","-3.91768203729394",2.6256774532385e-13
"127","daily","sGARCH","norm","2,3","1,2","-3.91500700755754",5.51780843238703e-14
"128","daily","sGARCH","norm","2,3","1,3","-3.91219120642062",8.43769498715119e-15
"129","daily","sGARCH","norm","2,3","1,4","-3.90853820556141",6.66133814775094e-16
"130","daily","sGARCH","norm","2,3","2,0","-3.91799701720503",1.95654603629691e-12
"131","daily","sGARCH","norm","2,3","2,1","-3.91496600364361",9.15933995315754e-14
"132","daily","sGARCH","norm","2,3","2,2","-3.91286508454477",1.25455201782643e-14
"133","daily","sGARCH","norm","2,3","2,3","-3.91344478283401",1.66533453693773e-15
"134","daily","sGARCH","norm","2,3","2,4","-3.90722565495775",3.88578058618805e-15
"135","daily","sGARCH","norm","2,3","3,0","-3.91491096817012",6.66133814775094e-14
"136","daily","sGARCH","norm","2,3","3,1","-3.91223977626038",1.28785870856518e-14
"137","daily","sGARCH","norm","2,3","3,2","-3.90903637223656",4.44089209850063e-16
"138","daily","sGARCH","norm","2,3","3,3","-3.90768878556632",0
"139","daily","sGARCH","norm","2,3","3,4","-3.90401874237064",0
"140","daily","sGARCH","norm","2,3","4,0","-3.91175507492124",7.99360577730113e-15
"141","daily","sGARCH","norm","2,3","4,1","-3.9084270563725",1.22124532708767e-15
"142","daily","sGARCH","norm","2,3","4,2","-3.91332657080311",0
"143","daily","sGARCH","norm","2,3","4,3","-3.90508726836933",0
"144","daily","sGARCH","norm","3,1","0,0","-3.92033319872134",2.49983367339723e-09
"145","daily","sGARCH","norm","3,1","0,1","-3.91711553945371",2.30003793788569e-11
"146","daily","sGARCH","norm","3,1","0,2","-3.91432147075055",3.05881986406575e-11
